timestamp,longitude_m,latitude_m
20967,-67.649271,-41.714218
21968,-67.730985,-41.668097
22168,-67.619977,-41.821218
22368,-67.706317,-41.697614
22568,-67.712484,-41.745580
22768,-67.623061,-41.778787
22969,-67.707858,-41.734511
23169,-67.715567,-41.764028
23369,-67.703233,-41.710528
23569,-67.752570,-41.745580
23769,-67.763362,-41.712373
23970,-67.849701,-41.629356
24170,-67.741777,-41.817528
24370,-67.738694,-41.669942
24570,-67.868203,-41.657028
24770,-67.706317,-41.795390
24971,-67.727901,-41.649649
25171,-67.734068,-41.657028
25371,-67.542889,-41.616442
25571,-67.519762,-41.478080
25771,-67.405671,-41.395063
25972,-67.219116,-41.205046
26172,-66.998643,-41.221649
26372,-66.775085,-40.946770
26572,-66.690288,-40.697719
26772,-66.334138,-40.681116
26973,-66.058161,-40.341668
27173,-65.876231,-40.122134
27373,-65.422950,-40.015134
27573,-65.160848,-39.614807
27773,-64.844785,-39.410031
27974,-64.430048,-39.103790
28174,-64.086232,-38.817842
28374,-63.671495,-38.530049
28574,-63.242882,-38.192446
28774,-62.771099,-37.965533
28975,-62.320902,-37.484033
29175,-61.964752,-37.151965
29375,-61.377336,-36.899224
29575,-60.899386,-36.425104
29775,-60.467690,-36.050604
29976,-59.846355,-35.748053
30176,-59.410033,-35.233347
30376,-57.806589,-34.264813
30576,-57.251550,-33.868176
30776,-56.765892,-33.442021
30977,-56.240147,-32.975281
31177,-55.785324,-32.455040
31377,-55.120819,-32.130351
31577,-54.639786,-31.672834
31777,-54.394644,-31.185800
31978,-53.797978,-30.951507
32178,-53.463413,-30.460784
32378,-52.094318,-30.091819
32578,-51.543905,-29.828009
32778,-51.274094,-29.486716
32979,-50.876317,-29.169406
33179,-50.675886,-28.936958
33379,-50.424577,-28.651010
33579,-50.145516,-28.398269
33779,-49.940460,-28.224856
33980,-49.644440,-28.069890
34180,-49.501055,-27.822684
34380,-49.471761,-27.671408
34580,-49.251287,-27.649270
34780,-49.143363,-27.518287
34981,-48.939849,-27.468477
35181,-48.830383,-27.390994
35381,-48.868928,-27.283995
35581,-48.796464,-27.248943
35781,-48.794922,-27.221271
35982,-47.660177,-27.317201
36983,-49.288290,-27.444494
37183,-49.294457,-27.569943
37383,-49.336085,-27.477701
37583,-49.331460,-27.474012
37783,-49.334543,-27.466632
37984,-49.356128,-27.488770
38184,-49.255913,-27.429736
38384,-49.329918,-27.437115
38584,-49.266705,-27.553339
38784,-49.283665,-27.426046
38986,-49.411632,-27.389150
39186,-49.279039,-27.542270
39386,-49.340710,-27.426046
39586,-49.393131,-27.474012
39786,-49.333001,-27.457408
39987,-49.385422,-27.450029
40187,-49.363837,-27.440805
40387,-49.376171,-27.433425
40587,-49.434758,-27.453719
40787,-49.366920,-27.429736
40988,-49.447093,-27.426046
41188,-49.376171,-27.534891
41388,-49.396214,-27.409443
41588,-49.519556,-27.387305
41788,-49.356128,-27.536736
41989,-49.399298,-27.405753
42189,-49.419341,-27.474012
42389,-49.410090,-27.464787
42589,-49.428591,-27.442650
42789,-49.411632,-27.459253
42990,-49.445551,-27.453719
43190,-49.447093,-27.488770
43390,-49.394672,-27.429736
43590,-49.453260,-27.475856
43790,-49.368462,-27.534891
43991,-49.356128,-27.306133
44191,-49.383880,-27.258167
44391,-49.166490,-27.365167
44591,-49.140280,-27.123495
44791,-49.095568,-27.012805
44992,-48.867386,-26.850461
45192,-48.710125,-26.641995
45392,-48.572907,-26.415082
45592,-48.315431,-26.153117
45792,-48.085707,-25.924358
45993,-49.188075,-22.893311
46393,-47.307111,-23.491034
46593,-46.889290,-23.005845
46793,-46.736655,-22.544639
46994,-46.280290,-22.155380
47194,-45.905639,-21.684950
47394,-45.560282,-21.225588
47594,-45.162504,-20.797589
49396,-39.100251,-17.796058
49596,-38.286194,-17.532248
49796,-37.506057,-17.235231
49997,-36.855428,-16.980646
50197,-36.234094,-16.691008
50397,-35.375326,-16.569250
50597,-34.687695,-16.477008
50797,-33.987730,-16.406905
50998,-33.118169,-16.456715
51198,-32.683389,-16.272233
51398,-31.900168,-16.342336
51598,-31.059902,-16.477008
51798,-30.534157,-16.366319
51999,-29.729351,-16.606146
52199,-29.040178,-16.679939
52399,-28.352547,-16.783249
52599,-27.609412,-16.988025
52799,-27.157673,-17.155904
53000,-26.329740,-17.408645
53200,-25.648277,-17.600507
53400,-25.045443,-17.855093
53600,-24.251430,-18.190851
53800,-23.856736,-18.268334
54001,-23.241568,-18.515540
54201,-22.379717,-18.897419
54401,-21.934144,-19.041315
54601,-21.343645,-19.393677
54801,-20.740811,-19.626125
55002,-20.187315,-19.832745
55202,-19.584481,-20.137142
55402,-19.225248,-20.367745
55602,-18.425068,-20.705348
55802,-17.905490,-20.906434
56003,-17.421373,-21.207140
56203,-16.750702,-21.439588
56403,-16.328256,-21.507847
56603,-15.921227,-21.675726
56803,-15.059376,-21.998570
63011,-21.602663,-31.912661
63211,-22.257917,-32.028885
63411,-22.754368,-32.475333
63611,-23.441999,-32.515919
69817,-43.955295,-37.699878
70018,-44.271359,-37.923102
70218,-44.710764,-38.220119
70418,-45.262719,-38.380619
70618,-45.577241,-38.768032
70818,-46.152323,-39.000480
71019,-46.636440,-39.334393
71219,-46.929377,-39.649858
71419,-47.627800,-39.780841
71619,-47.829772,-40.175634
71819,-48.133502,-40.603633
72020,-48.731710,-40.734616
72220,-48.921348,-41.134943
72420,-49.371546,-41.524201
72620,-49.709194,-41.874718
72820,-49.854121,-42.173579
73021,-50.270400,-42.529631
73221,-50.290443,-42.974233
79028,-54.732292,-52.818221
79228,-55.068399,-53.039600
79428,-55.213326,-53.371669
79628,-55.324333,-53.639168
79828,-55.537098,-53.949099
80029,-55.635772,-54.255340
